C,Si,Mn,P,S,Ni,Mo,Cr,W,Cu,变形温度T,变形程度,变形速率,淬火温度,淬透性
0.91,0.53,0.16,0.53,0.94,0.3,0.91,0.81,0.81,0.31,808,0.5,3.75,824,1.0
0.08,0.73,0.81,0.28,0.46,0.07,0.57,0.13,0.44,0.58,994,0.3,6.68,1057,0.11
0.31,0.56,0.67,0.27,0.44,0.54,0.31,0.26,0.16,0.16,748,0.5,4.67,913,0.11
0.11,0.59,0.11,0.23,0.76,0.1,0.21,0.83,0.47,0.01,820,0.6,4.72,996,0.11
0.35,0.1,0.66,0.95,0.78,0.86,0.83,0.62,0.4,0.03,990,0.4,5.6,896,0.11
0.26,0.5,0.15,0.63,0.07,0.85,0.43,0.1,0.72,0.85,933,0.4,6.38,842,1.0
0.49,0.69,0.19,0.13,0.45,0.24,0.34,0.38,0.73,0.91,747,0.5,4.3,828,0.11
0.12,0.96,0.62,0.0,0.49,0.41,0.15,0.09,0.27,0.11,842,0.3,6.04,1083,1.0
0.95,0.19,0.1,0.61,0.91,0.74,0.64,0.48,0.92,0.36,746,0.6,4.58,1035,1.0
0.44,0.11,0.17,0.97,0.09,0.39,0.97,0.01,0.24,0.92,756,0.6,6.1,1077,0.11
0.04,0.84,0.87,0.96,0.79,0.7,0.64,0.86,0.55,0.11,852,0.4,5.02,926,1.0
0.82,0.11,0.1,0.32,0.65,0.05,1.0,0.11,0.76,0.46,889,0.6,3.06,852,1.0
0.32,0.43,0.13,0.58,0.25,0.05,0.77,0.41,0.85,0.04,712,0.3,4.59,1045,0.11
0.6,0.3,0.57,0.85,0.51,0.12,0.06,0.92,0.78,0.78,879,0.5,4.97,974,0.11
0.13,0.87,0.18,0.65,0.18,0.27,0.55,0.18,0.91,0.49,822,0.4,3.72,803,1.0
0.19,0.49,0.45,0.15,0.5,1.0,0.79,0.99,0.52,0.33,800,0.3,5.06,831,1.0
0.45,0.75,0.43,0.37,0.31,0.64,0.36,0.35,0.12,0.65,702,0.6,3.29,1047,1.0
