C,Si,Mn,P,S,Ni,Mo,Cr,W,Cu,变形温度T,变形程度,变形速率,淬火温度,淬透性
0.29,0.7,0.99,0.31,0.71,0.6,0.2,0.78,0.41,0.41,789,0.4,4.73,1013,0
0.15,0.02,0.86,0.2,0.0,0.93,0.61,0.49,0.02,0.44,790,0.5,5.93,1046,0
0.75,0.93,0.54,0.52,0.15,0.15,0.01,0.32,0.09,0.13,752,0.3,6.35,927,0
0.02,0.73,0.23,0.2,0.8,0.94,0.42,0.05,0.48,0.43,794,0.5,5.29,1055,0
0.22,0.95,0.36,0.22,0.6,0.68,0.61,0.48,0.03,0.61,807,0.6,5.77,1004,0
0.03,0.19,0.29,0.19,0.07,0.03,0.36,0.03,0.77,0.92,929,0.5,4.83,956,1
0.25,0.06,0.38,0.64,0.67,0.69,0.63,0.19,0.93,0.15,703,0.4,5.64,1022,0
0.95,0.04,0.58,0.86,0.39,0.09,0.79,0.03,0.08,0.04,750,0.5,6.68,990,1
0.58,0.81,0.55,0.51,0.01,0.1,0.85,0.9,0.92,0.92,819,0.3,5.34,837,-1
0.3,0.57,0.06,0.83,0.38,0.51,0.41,0.86,0.77,0.55,860,0.5,6.49,918,-1
0.43,0.31,0.33,0.47,0.92,0.48,0.86,0.79,0.57,0.57,783,0.3,4.49,1071,0
0.65,0.87,0.68,0.84,0.79,0.44,0.98,0.65,0.91,0.38,711,0.4,4.59,1035,0
0.97,0.5,0.77,0.46,0.47,0.49,0.88,0.61,0.99,0.04,740,0.5,3.47,873,-1
0.35,0.22,0.89,0.43,0.32,0.41,0.66,0.3,0.49,0.72,819,0.6,4.47,976,0
0.38,0.94,0.74,0.3,0.19,0.32,0.54,0.58,0.2,1.0,795,0.3,6.02,853,-1
0.13,0.83,0.67,0.7,0.04,0.9,0.2,0.82,0.86,0.01,998,0.6,3.27,925,-1
0.61,0.35,0.52,0.17,0.96,0.84,0.79,0.18,0.61,0.59,921,0.3,5.58,937,-1
0.49,0.68,0.84,0.17,0.52,0.83,0.98,0.94,0.23,0.13,886,0.5,3.36,838,-1
0.4,0.95,0.48,0.59,0.92,0.36,0.28,0.93,0.95,0.69,981,0.5,5.09,895,-1
0.75,0.38,0.64,0.84,0.15,0.54,0.38,0.93,0.64,0.96,734,0.4,6.54,1072,0
0.72,0.64,0.7,0.09,0.3,0.48,0.82,0.41,0.75,0.39,967,0.4,3.56,1035,0
0.83,0.56,0.55,0.95,0.01,0.46,0.93,0.21,0.3,0.86,975,0.3,6.9,935,1
0.44,0.77,0.24,0.64,0.02,0.41,0.45,0.25,0.1,0.51,765,0.3,3.46,950,1
0.69,0.28,0.21,0.74,0.6,0.56,0.53,0.67,0.91,0.95,870,0.3,5.48,807,0
0.82,0.7,0.52,0.76,0.95,0.61,0.3,0.3,0.87,0.9,731,0.3,3.85,968,-1
0.72,0.59,0.87,0.9,0.41,0.41,0.51,0.28,0.1,0.04,893,0.5,5.39,1083,0
0.89,0.79,0.13,0.15,0.69,0.39,0.03,0.42,0.07,0.04,879,0.3,4.29,1020,0
0.77,0.02,0.62,0.93,0.01,0.56,0.33,0.71,0.34,0.3,957,0.3,5.13,1059,-1
0.42,0.08,0.56,0.59,0.34,0.53,0.34,0.83,0.67,0.79,773,0.4,5.79,1091,0
0.69,0.36,0.65,0.25,0.84,0.58,0.55,0.04,0.36,0.5,964,0.4,6.71,1006,-1
0.35,0.09,0.43,0.94,0.81,0.26,0.63,0.98,0.19,0.51,949,0.3,3.5,928,0
0.22,0.17,0.65,0.5,0.97,0.08,0.2,0.22,0.42,0.94,824,0.3,6.91,886,-1
0.59,0.03,0.9,0.16,0.23,0.97,0.15,0.64,0.8,0.42,750,0.4,4.28,998,1
0.24,0.9,0.97,0.3,0.92,0.17,0.98,0.33,0.62,0.44,951,0.4,4.92,1046,1
0.32,0.95,0.31,0.42,0.74,0.92,0.01,0.33,0.04,0.34,913,0.4,6.88,982,1
0.07,0.13,0.05,0.34,0.71,0.68,0.68,0.73,0.65,0.79,725,0.6,6.79,847,1
0.52,0.5,0.25,0.21,0.66,0.43,0.56,0.29,0.68,0.71,964,0.6,4.37,914,1
0.92,0.6,0.12,0.44,0.16,0.69,0.83,0.44,0.27,0.66,748,0.6,5.53,933,-1
0.39,0.88,0.26,0.53,0.38,0.43,0.79,0.29,0.33,0.3,714,0.3,5.73,831,1
0.39,0.26,0.92,0.48,0.1,0.48,0.44,0.93,0.42,0.69,940,0.3,4.12,857,-1
0.9,0.87,0.32,0.44,0.22,1.0,0.16,0.25,0.38,0.64,846,0.3,6.78,924,1
0.7,0.48,0.81,0.7,0.56,0.65,0.05,0.54,0.76,0.98,899,0.3,5.61,1039,-1
0.08,0.45,0.57,0.66,0.47,0.44,0.51,0.54,0.99,0.1,779,0.3,5.8,1092,1
0.4,0.45,0.76,0.22,0.86,0.14,0.72,0.35,0.22,0.86,769,0.3,4.47,1027,-1
0.15,0.7,0.76,0.84,0.23,0.39,0.73,0.98,0.59,0.01,772,0.4,3.02,1051,0
0.36,0.84,0.78,0.69,0.46,0.87,0.62,0.67,0.77,0.56,967,0.6,5.69,971,0
0.26,0.92,0.43,0.6,0.59,0.96,0.78,0.08,0.37,0.39,755,0.6,4.13,871,-1
0.69,0.0,0.74,0.06,0.21,0.64,0.01,0.88,0.76,0.62,789,0.6,4.56,949,1
0.26,0.39,0.11,0.58,0.41,0.06,0.25,0.44,0.02,0.75,884,0.5,6.4,1078,-1
0.18,0.98,0.8,0.86,0.05,0.5,0.99,0.98,0.02,0.8,855,0.5,5.37,845,-1
